Task Name,Dataset Count
Relational Pattern Learning,2
Human Dynamics,2
Author Attribution,2
ICU Mortality,2
Popularity Forecasting,2
Cloze Test,2
Moment Queries,2
Unsupervised Reinforcement Learning,2
Linear evaluation,2
Story Completion,2
Multi-Armed Bandits,2
Molecule Captioning,2
Aggression Identification,2
Irony Identification,2
Moral Scenarios,2
Computer Security,2
Security Studies,2
Multi-Agent Path Finding,2
Record linking,2
Multi-agent Integration,2
De-identification,2
Unsupervised Domain Expansion,2
Automated Essay Scoring,2
Traffic Data Imputation,2
Overall - Test,2
Variable Disambiguation,2
Embeddings Evaluation,2
Multimodal Association,2
Seeing Beyond the Visible,2
Flare Removal,2
Website Fingerprinting Defense,2
ValNov,2
Load Forecasting,2
Spatio-Temporal Forecasting,2
Protein Annotation,2
slot-filling,2
Ethics,2
Dynamic Point Removal,2
PAIR TRADING,2
Irregular Time Series,2
Age and Gender Estimation,2
Mathematical Problem-Solving,2
Sensor Fusion,2
Negation,2
Human Judgment Correlation,2
Kinship Verification,2
Position regression,2
SAXS regression,2
XRD regression,2
SANS regression,2
ND regression,2
Neutron PDF regression,2
NMT,2
Sports Analytics,2
RTE,2
Lung Cancer Diagnosis,2
Collision Avoidance,2
Modality completion,2
Hybrid Machine Learning,2
Raindrop Removal,2
backdoor defense,2
User Simulation,2
Fault Diagnosis,2
Unsupervised MNIST,1
Rotated MNIST,1
Adversarial Defense against FGSM Attack,1
Türkçe Görüntü Altyazılama,1
HairColor/Unbiased,1
HeavyMakeup/Unbiased,1
Lexical Simplification,1
Gait Identification,1
Online Clustering,1
Long-tail Learning on CIFAR-10-LT (ρ=100),1
ROLSSL-Consistent,1
ROLSSL-Reversed,1
ROLSSL-Uniform,1
Class Incremental Learning,1
Non-exemplar-based Class Incremental Learning,1
Data Free Quantization,1
Classifier calibration,1
class-incremental learning,1
Overlapped 100-50,1
Overlapped 50-50,1
Overlapped 100-10,1
Overlapped 100-5,1
Overlapped 25-25,1
NMR J-coupling,1
Race/Unbiased,1
Age/Unbiased,1
Surgical Skills Evaluation,1
Outdoor Light Source Estimation,1
Materials Screening,1
Cadenza 1 - Task 1 - Headphone,1
Parallel Corpus Mining,1
Story Continuation,1
NetHack Score,1
MS-SSIM,1
Local Distortion,1
SENTS,1
MORPH,1
UNLABELED_DEPENDENCIES,1
LABELED_DEPENDENCIES,1
LEMMA,1
Informativeness,1
COVID-19 Modelling,1
Question Rewriting,1
HTR,1
GPR,1
Montezuma's Revenge,1
Cadenza 1 - Task 2 - In Car,1
Overlapped 10-1,1
Domain 11-5,1
Domain 11-1,1
Domain 1-1,1
Overlapped 14-1,1
CARLA MAP Leaderboard,1
CARLA longest6,1
CARLA Leaderboard 2.0,1
Uncropping,1
Distributed Computing,1
Game of Doom,1
Continuous Control (100k environment steps),1
Continuous Control (500k environment steps),1
SNES Games,1
D4RL,1
Gym halfcheetah-random,1
Gym halfcheetah-medium,1
Gym halfcheetah-expert,1
Gym halfcheetah-medium-expert,1
Gym halfcheetah-medium-replay,1
Gym halfcheetah-full-replay,1
Adroid pen-human,1
Adroid hammer-human,1
Adroid door-human,1
Adroid relocate-human,1
Adroid pen-cloned,1
Adroid hammer-cloned,1
Adroid door-cloned,1
Adroid relocate-cloned,1
Decipherment,1
TGIF-Transition,1
TGIF-Frame,1
ListOps,1
Diffusion Personalization Tuning Free,1
Epidemiology,1
Demosaicking,1
Probabilistic Time Series Forecasting,1
Metaheuristic Optimization,1
Polyphone disambiguation,1
Sensor Modeling,1
Multivariate Time Series Forecastingm,1
Game of Hanabi,1
Two-sample testing,1
Lexical Normalization,1
Period Estimation,1
OrangeSum,1
Lake Ice Monitoring,1
Clean-label Backdoor Attack (0.024%),1
Micro-Expression Spotting,1
Game of Football,1
Replay Grounding,1
Caricature,1
Split and Rephrase,1
Winogrande,1
Geophysics,1
Precipitation Forecasting,1
Noun Phrase Canonicalization,1
Hypernym Discovery,1
Col BERTTriplet,1
point of interests,1
Populist attitude,1
Phone-level pronunciation scoring,1
Utterance-level pronounciation scoring,1
Non-Intrusive Load Monitoring,1
Time Series Averaging,1
Quantum Machine Learning,1
N-Queens Problem - All Possible Solutions,1
Traveling Salesman Problem,1
Multi-Choice MRC,1
Graphon Estimation,1
Clinical Note Phenotyping,1
Computational Phenotyping,1
Propaganda technique identification,1
Synthetic Data Evaluation,1
Mobile Security,1
Stable MCI vs Progressive MCI,1
Human Body Volume Estimation,1
Causal Identification,1
HumanEval,1
MTEB Benchmark,1
AllNLI Triplet,1
Question-Answer categorization,1
EditCompletion,1
Node Regression,1
Algorithmic Trading,1
Patient Phenotyping,1
Circulatory Failure,1
Respiratory Failure,1
Remaining Length of Stay,1
Task 2,1
Problem-Solving Deliberation,1
Classify murmurs,1
reinforcement-learning,1
Capacity Estimation,1
SMAC,1
Moving Point Cloud Processing,1
Fine-Grained Facial Editing,1
VGSI,1
Safe Reinforcement Learning,1
GSM8K,1
DrugProt,1
Galaxy emergent property recreation,1
BBBC021 NSC Accuracy,1
CYCLoPs Accuracy,1
Multimodal GIF Dialog,1
Success Rate (5 task-horizon),1
Avg. sequence length,1
BIG-bench Machine Learning,1
Identify Odd Metapor,1
Odd One Out,1
Crash Blossom,1
Auto Debugging,1
Crass AI,1
Empirical Judgments,1
Timedial,1
Business Ethics,1
Moral Disputes,1
Moral Permissibility,1
FEVER (2-way),1
FEVER (3-way),1
Misconceptions,1
High School European History,1
High School US History,1
High School World History,1
International Law,1
Jurisprudence,1
Management,1
Marketing,1
Philosophy,1
Prehistory,1
Professional Law,1
World Religions,1
Entailed Polarity,1
Evaluating Information Essentiality,1
Metaphor Boolean,1
Physical Intuition,1
Presuppositions As NLI,1
Professional Accounting,1
Anatomy,1
College Medicine,1
Human Aging,1
Human Organs Senses Multiple Choice,1
Nutrition,1
Professional Medicine,1
Virology,1
English Proverbs,1
Implicatures,1
Implicit Relations,1
LAMBADA,1
Movie Dialog Same Or Different,1
Phrase Relatedness,1
RACE-h,1
RACE-m,1
College Biology,1
College Chemistry,1
College Computer Science,1
College Physics,1
Conceptual Physics,1
High School Biology,1
High School Chemistry,1
High School Computer Science,1
High School Physics,1
High School Statistics,1
Physics MC,1
Econometrics,1
High School Geography,1
High School Government and Politics,1
High School Macroeconomics,1
High School Microeconomics,1
High School Psychology,1
Human Sexuality,1
Public Relations,1
Sociology,1
US Foreign Policy,1
Sleep Staging,1
W-R-L-D Sleep Staging,1
W-R-N Sleep Staging,1
Atari Games 100k,1
fr-en,1
es-en,1
de-en,1
EEG 4 classes,1
EEG Left/Right hand,1
EM showers clusterization,1
Topic coverage,1
Single Choice Question,1
Toponym Resolution,1
RoomEnv-v0,1
Surveillance-to-Single,1
Surveillance-to-Booking,1
Surveillance-to-Surveillance,1
ECG Wave Delineation,1
TDC ADMET Benchmarking Group,1
SpO2 estimation,1
Time Offset Calibration,1
Mental Workload Estimation,1
Industrial Robots,1
Singer Identification,1
Skill Mastery,1
Binary Quantification,1
Unsupervised Spatial Clustering,1
Privacy Preserving,1
Log Solubility,1
Row Annotation,1
Morpheme Segmentaiton,1
Chemical Indexing,1
Virtual Try-Off,1
Playing the Game of 2048,1
Lexical Analysis,1
Negation Scope Resolution,1
Speculation Scope Resolution,1
Negation and Speculation Scope resolution,1
Exemplar-Free Counting,1
A-VB Two,1
A-VB High,1
A-VB Culture,1
Open Relation Modeling,1
Game of Go,1
Holdout Set,1
Humanitarian,1
Descriptive,1
Remove - PQ,1
Remove - PO,1
Replace - PQ,1
Replace - PO,1
Add - PQ,1
Add - PO,1
Specificity,1
Partially Observable Reinforcement Learning,1
Model-based Reinforcement Learning,1
Definition Modelling,1
Vocal ensemble separation,1
Navigate,1
RoomEnv-v1,1
Card Games,1
FocusNews (test),1
SRF (test),1
Protein Folding,1
Driver Identification,1
Graph Attention,1
Film Simulation,1
Acne Severity Grading,1
Subgraph Counting - K4,1
Subgraph Counting - Triangle,1
Subgraph Counting - 3 Star,1
Subgraph Counting - Chordal C4,1
Subgraph Counting - 2 star,1
Subgraph Counting - C4,1
Subgraph Counting - Tailed Triangle,1
Subgraph Counting - C5,1
Subgraph Counting - C6,1
Subgraph Counting,1
Hurricane Forecasting,1
All,1
Diagnostic,1
Sub-diagnostic,1
Super-diagnostic,1
Form,1
VCGBench-Diverse,1
Operator learning,1
Solar Irradiance Forecasting,1
Proper Noun,1
XLM-R,1
Bayesian Optimization,1
Bug fixing,1
Travel Time Estimation,1
Automatic Lyrics Transcription,1
Virtual Try-on (Shop2Street),1
Virtual Try-on (Model2Street),1
Virtual Try-on (Street2Street),1
Vignetting Removal,1
Model Editing,1
SVBRDF Estimation,1
TAR,1
tabular-regression,1
Mixed Reality,1
Self-Learning,1
Joint Radar-Communication,1
EEG,1
Multiclass Quantification,1
Neural Network Security,1
Long Term Anticipation,1
point cloud upsampling,1
Film Removal,1
Citation worthiness,1
Omniverse Isaac Gym,1
Acrobot,1
Low-latency processing,1
Hypergraph Contrastive Learning,1
Semi-Supervised Person Re-Identification,1
Domain Adaptive Person Re-Identification,1
MMLU,1
Hallucination,1
Person Identification (1-shot),1
Fashion Compatibility Learning,1
4k,1
Dataset Size Recovery,1
Sequential Pattern Mining,1
Layout Design,1
RoomEnv-v2,1
Vietnamese Datasets,1
Game of Poker,1
MMR total,1
GermEval2024 Shared Task 1 Subtask 1,1
GermEval2024 Shared Task 1 Subtask 2,1
Occlusion Estimation,1
TiROD,1
Flood extent forecasting,1
News Authenticity Identification,1
Li-ion State of Health Estimation,1
Chemical Process,1
software testing,1
erson Re-Identification,1
Demand Forecasting,1
Neural Network simulation,1
Liquid Simulation,1
Equilibrium traffic assignment,1
Authorship Attribution,1
Author Profiling,1
MMSQL performance,1
Task Planning,1
Quant Trading,1
Raspberry Pi 3,1
Raspberry Pi 4,1
Raspberry Pi 5,1
Crashworthiness Design,1
ECG Digitization,1
Sand,1
Sequential Decision Making,1
Credit score,1
Load Virtual Sensing,1
Load Virtual Sensing (Fx),1
Load Virtual Sensing (Fy),1
Red Teaming,1
Real-World Adversarial Attack,1
Atomic Forces,1
Field Boundary Delineation,1
LLM real-life tasks,1
Fixed Few Shot Prompting Danger Assessment,1
Zero Shot Prompting Danger Assessment,1
Fixed Few Shot Prompting,1
Building Damage Assessment,1
automatic short answer grading,1
Causal Judgment,1
Deep Learning,1
Procedure Learning,1
Scheduling,1
Game of Mafia,1
Asynchronous Group Communication,1
Building Flood Damage Assessment,1
2k,1
Reinforcement Learning (Atari Games),1
